Jersey,Player,Position,Position,Games_played,Mins_Started,Mins,Goals,Assists,Points,Shots,Shots_Percentage,Shots_On_Goals,Shots_on_Goals_Percentage,YellowCard,RedCard,Games_Winning_Goals,Penalty_Goals,Penalty_Attempts
11,"Ajago, Forster",FW,FW,17,16,1095,7,3,17,42,0.167,20,0.476,2,0,3,1,1
2,"Day, Manny",CAM,CAM,17,5,891,6,1,13,47,0.128,18,0.383,0,0,2,0,0
7,"Sanchez, Andy",MF,MF,17,15,984,5,3,13,35,0.143,15,0.429,1,0,2,0,0
21,"Adedokun, Michael",MF,MF,11,6,681,3,6,12,39,0.077,13,0.333,1,0,1,1,1
31,"Melto Quiah, Joseph",MF,MF,17,16,1150,2,5,9,54,0.037,17,0.315,3,0,0,0,0
8,"Umar, Basit",FW,FW,17,13,1330,3,2,8,46,0.065,18,0.391,3,0,1,0,0
20,"Cisse, Ousseynou",DF,DF,11,0,318,2,3,7,8,0.25,4,0.5,1,0,0,0,0
19,"Svendby, Casper",DF,DF,17,17,1364,2,3,7,15,0.133,5,0.333,2,0,0,0,0
32,"Jones-Riley, Jaden",FW,FW,17,17,1544,2,1,5,14,0.143,5,0.357,4,0,0,0,0
23,"Kringen, Gabriel",DF,DF,13,12,447,2,1,5,16,0.125,6,0.375,0,0,1,0,0
12,"Zengue, Xavier",DF,DF,17,17,1526,2,1,5,14,0.143,6,0.429,4,0,0,0,0
3,"Brown, Logan",CAM,CAM,17,17,1488,1,1,3,5,0.2,1,0.2,1,0,0,0,0
4,"Owusu, Samuel",MF,MF,17,2,633,1,1,3,12,0.083,4,0.333,2,0,0,0,0
10,"Antwi, Seth",GK,GK,17,11,1385,1,0,2,20,0.05,5,0.25,1,0,0,0,0
1,"Caetano, Dario",DF,DF,17,17,1550,0,0,0,0,0,0,0,1,0,0,0,0
28,"Caldeira, Luiz",DF,DF,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
15,"Graham, Christian",FW,FW,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
22,"Jabateh, Sidike",DF,DF,4,0,53,0,0,0,3,0,0,0,0,0,0,0,0
35,"Jalle, Martin",DF,DF,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6,"Kanyane, Geni",CAM,CAM,15,6,493,0,0,0,3,0,1,0.333,2,0,0,0,0
16,"Knecht, Cooper",DF,DF,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
13,"Skoczylas, Paul",MF,MF,5,0,76,0,0,0,0,0,0,0,1,0,0,0,0
34,"Swanbeck, Tyler",-,-,4,0,23,0,0,0,0,0,0,0,1,0,0,0,0
,Total,-,-,17,-,17051,39,31,109,373,0.105,138,0.37,32,0,10,2,2
,Opponent,-,-,17,-,16968,15,21,51,139,0.108,59,0.424,44,2,2,1,1
,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,1
